% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
5.8,0.1,2,466.6417264149029,7.780557441641093,-378.34302985560515,600.7982075088966
5.9,0.1,2,440.63307982465403,7.2079605441373396,-366.0341679204355,572.8791127420961
6,0.1,2,416.36555695498987,6.684499452960761,-354.1518085461328,546.652049340229
0,0.2,2,-2.5046077545610306,182956.6099398084,166657.1540013347,247482.7834552635
0.1,0.2,2,73871.89501721901,147764.81883085545,140605.13682320557,216936.17277582575
0.2,0.2,2,91173.70135255798,91191.73154797446,97410.68783562907,161608.84204044545
0.3,0.2,2,80696.45963792704,53813.9857687702,66640.0316483864,117680.74388154985
0.4,0.2,2,66683.91956450137,33356.75089195828,47601.50480844425,88460.84568090783
0.5,0.2,2,55017.24128575835,22020.0900722585,35343.27536948445,68999.48057289227
0.6,0.2,2,45982.29005899219,15338.98306477113,26934.022729686883,55453.55697278505
0.7,0.2,2,38968.62965922607,11143.809143623068,20870.5376316587,45588.57226084069
0.8,0.2,2,33421.18075526386,8363.629827635938,16342.589834975588,38131.428893813936
0.9,0.2,2,28944.012520312885,6438.865630232992,12876.713828442735,32326.840402362755
1,0.2,2,25265.280381054057,5058.59480431031,10175.873357884757,27703.2881211451
1.1,0.2,2,22196.674758754674,4040.1457189087237,8043.109410481164,23952.17645152365
1.2,0.2,2,19604.89652850152,3270.8984643953586,6342.118576585094,20863.202359587573
1.3,0.2,2,17393.265211209524,2678.507726160712,4975.339273290075,18288.085718054714
1.4,0.2,2,15489.976330131854,2214.839090575428,3871.0166445501845,16119.232263590306
1.5,0.2,2,13840.508778434285,1846.886146211506,2975.191181169067,14276.639459182637
1.6,0.2,2,12402.619737548583,1551.4188857626827,2246.536360150776,12699.559147104686
1.7,0.2,2,11142.976313521518,1311.714782444416,1652.9179275327606,11341.01646543836
1.8,0.2,2,10034.84249095623,1115.4974716733673,1169.0323843237184,10164.105230821251
1.9,0.2,2,9056.460378302083,953.5995007924746,774.7441990035577,9139.423130895999
2,0.2,2,8189.8971787557475,819.0722848641458,453.88875539929995,8243.258470332095
2.1,0.2,2,7420.210099653919,706.5797110289049,193.39385233868597,7456.284194769276
2.2,0.2,2,6734.8315912406,611.9760947496953,-17.3760236076032,6762.601069789189
2.3,0.2,2,6123.1091934849155,532.0067432794394,-187.11670160282893,6149.025128445403
2.4,0.2,2,5575.955078648794,464.0918892064927,-322.96642665635363,5604.5484772177415
2.5,0.2,2,5085.574318822168,406.1685262831458,-430.8035510610316,5119.924874801716
2.6,0.2,2,4645.25043570075,356.57324381332126,-515.4812895721511,4687.346482657382
2.7,0.2,2,4249.173358259987,313.9545660757537,-581.0148018032182,4300.188356109615
2.8,0.2,2,3892.299429383594,277.206787765792,-630.7315773047717,3952.8041658767575
2.9,0.2,2,3570.2361765396217,245.41960264707117,-667.3931502003811,3640.361349450092
3,0.2,2,3279.1466348945933,217.839403139716,-693.2941454368079,3358.707107027607
3.1,0.2,2,3015.9090494079132,194.05736513520228,-710.4299778159257,3104.5251502674764
3.2,0.2,2,2776.873367896636,173.07382549549487,-720.3395055271026,2873.9988263094824
3.3,0.2,2,2560.0859361100875,154.69295497045047,-724.2503804970452,2665.0531935097033
3.4,0.2,2,2363.154665281713,138.55280527775625,-723.2984584215947,2475.248979769129
3.5,0.2,2,2183.9828928320167,124.34614543289601,-718.4261449581134,2302.472446268641
3.6,0.2,2,2020.728883332828,111.81215117675868,-710.4156148211173,2144.8863659569424
3.7,0.2,2,1871.7707086705386,100.72920622899778,-699.9159291482345,2000.888369374956
3.8,0.2,2,1735.6761201551185,90.90864948617588,-687.4653444322705,1869.0758616020662
3.9,0.2,2,1611.176904610631,82.18937860749534,-673.5098353649066,1748.2166943030388
4,0.2,2,1497.1471561116173,74.43325649134839,-658.4185862557517,1637.2247712064564
